x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name
2463.4946,1177.6873,2712.1475,1388.373,5,0.62766886,,bus
2521.7266,1772.7231,2967.5068,2155.6326,2,0.5985671,,car
2457.0945,1173.9794,2710.7122,1389.2125,7,0.46516427,,truck
1506.8588,1050.2063,1653.7551,1151.5958,5,0.44750643,,bus
544.0803,1125.1814,728.3198,1276.6609,5,0.3677111,,bus
1250.9103,1083.6566,1413.0084,1214.3284,5,0.34157544,,bus
544.2096,1124.9761,727.50214,1281.0549,7,0.31889942,,truck
1477.3744,1375.0964,1650.6617,1507.1521,2,0.76847464,,car
1512.2344,1506.7069,1759.2349,1787.0385,2,0.7527151,,car
2513.0889,1751.0779,2923.4656,2134.0737,2,0.66968066,,car
2236.5505,1234.8656,2382.2043,1375.5309,2,0.5729757,,car
2451.4595,1175.543,2710.3604,1387.0961,5,0.554221,,bus
2452.848,1176.0062,2710.314,1389.516,7,0.46421435,,truck
1507.3406,1050.9651,1663.2308,1152.3799,5,0.40745556,,bus
542.2411,1129.5114,731.5523,1278.6674,5,0.3953063,,bus
540.7116,1127.604,728.0968,1285.9463,7,0.33863005,,truck
1256.89,1086.3296,1407.2826,1213.273,5,0.31170136,,bus
1464.8016,1376.6562,1645.9812,1527.6879,2,0.74632806,,car
2500.0027,1728.0494,2894.582,2105.4202,2,0.725427,,car
1481.8125,1532.4302,1738.7388,1831.0085,2,0.6829585,,car
2454.7466,1177.2931,2707.4958,1385.2642,7,0.6404538,,truck
2237.6682,1238.4293,2380.9026,1371.7262,2,0.63830423,,car
2452.9746,1172.2457,2705.4155,1381.3416,5,0.50742245,,bus
540.89923,1129.2228,730.1737,1282.9237,5,0.42711824,,bus
1507.1587,1051.2587,1660.4019,1152.4532,5,0.40491173,,bus
1257.7303,1086.1576,1406.8038,1212.7401,5,0.30839705,,bus
1452.2437,1549.804,1725.5842,1873.6794,2,0.80562615,,car
2235.0232,1239.9232,2376.3374,1369.6981,2,0.8006971,,car
1438.6893,1391.7769,1627.3711,1537.5458,2,0.7570672,,car
2490.1077,1716.3945,2871.0532,2069.8613,2,0.6557332,,car
2451.5625,1173.8093,2703.6548,1383.4761,7,0.5889634,,truck
2448.1934,1168.9259,2702.6196,1378.1774,5,0.4442655,,bus
543.75977,1125.6183,728.2596,1276.2478,5,0.42620173,,bus
1505.7006,1050.6766,1659.6461,1151.266,5,0.41519538,,bus
1874.7943,1161.6389,1924.0592,1209.3276,2,0.30901393,,car
2235.271,1240.2001,2371.0884,1364.64,2,0.7527528,,car
1413.6091,1401.5721,1624.332,1551.8772,2,0.7309991,,car
1413.7455,1576.2349,1711.2957,1930.6827,2,0.6512314,,car
2450.3174,1172.6298,2695.7615,1379.4025,7,0.5802764,,truck
2449.3367,1171.3184,2692.2144,1379.3298,5,0.55328894,,bus
2473.7732,1697.0497,2845.0894,2036.1127,2,0.541764,,car
544.41125,1124.8854,727.3871,1277.8713,5,0.43084493,,bus
1505.6509,1051.0391,1644.2267,1151.739,5,0.40958965,,bus
1874.8481,1160.2687,1923.805,1208.9052,2,0.25823855,,car
1251.3284,1082.7759,1415.2374,1214.9744,5,0.25551915,,bus
1498.155,1046.5195,1686.074,1145.4005,5,0.2526296,,bus
1373.2804,1614.0388,1684.9995,1981.5337,2,0.841736,,car
1394.3025,1417.8074,1600.2921,1575.7117,2,0.8215671,,car
2232.748,1240.007,2366.1228,1363.3557,2,0.7274867,,car
2450.582,1175.1318,2689.9375,1377.4077,7,0.5662118,,truck
2468.248,1680.672,2820.8425,2018.4305,2,0.51447,,car
1867.6569,1167.2498,1924.7378,1211.9392,2,0.48486418,,car
542.4415,1128.5962,729.9454,1282.32,5,0.4750831,,bus
2447.7073,1170.8123,2692.7778,1373.5458,5,0.47317663,,bus
1507.7074,1050.8701,1658.7068,1152.3333,5,0.39308932,,bus
1253.592,1086.8092,1407.6973,1214.0878,5,0.30569553,,bus
1376.9337,1423.3448,1582.4668,1589.3248,2,0.81989753,,car
1323.8889,1649.4038,1664.6577,2056.6838,2,0.7718632,,car
2228.893,1239.4048,2362.946,1361.7852,2,0.7291975,,car
2448.9197,1174.233,2688.4436,1374.1685,7,0.6643978,,truck
2460.2874,1665.951,2803.7097,1986.4889,2,0.58634996,,car
1865.5631,1168.5974,1924.5985,1213.4308,2,0.5198316,,car
541.1783,1128.6985,729.81793,1283.7031,5,0.5077613,,bus
2442.2517,1169.9718,2690.4482,1371.6101,5,0.44876394,,bus
1513.0525,1052.5038,1650.4427,1152.7767,5,0.37131184,,bus
1254.2275,1085.9718,1408.0618,1213.563,5,0.32208082,,bus
1174.5631,1079.9001,1414.8062,1219.8704,5,0.25725392,,bus
1357.399,1441.4565,1565.487,1610.7932,2,0.8343078,,car
1273.6415,1682.2489,1639.774,2130.7224,2,0.73649776,,car
2452.4993,1172.2589,2682.6836,1366.9854,7,0.6702748,,truck
2446.5898,1653.6621,2783.0237,1958.6697,2,0.616592,,car
2224.5479,1240.8066,2356.0293,1355.1417,2,0.56349677,,car
1864.0763,1170.3733,1919.7799,1214.9626,2,0.47129562,,car
543.9181,1126.3184,727.0897,1278.3397,5,0.4354046,,bus
2445.397,1168.0214,2686.3132,1367.586,5,0.41861445,,bus
1510.4594,1051.3352,1649.7949,1151.1603,5,0.40245026,,bus
1252.6194,1086.7351,1410.6119,1214.5724,5,0.2681271,,bus
1324.6451,1448.1593,1548.266,1637.7002,2,0.7736062,,car
1173.6564,1728.9794,1619.4625,2154.2656,2,0.75330514,,car
2448.5955,1170.8416,2680.833,1365.9602,7,0.690158,,truck
2223.6782,1236.0189,2353.9885,1352.173,2,0.5845632,,car
1860.2933,1171.0502,1919.837,1217.1686,2,0.517159,,car
2437.8792,1637.6317,2774.0757,1938.6542,2,0.466498,,car
544.4493,1124.8828,727.15924,1277.7198,5,0.40861693,,bus
1507.5411,1050.9537,1651.1182,1151.468,5,0.39237973,,bus
2436.5662,1635.0309,2774.3662,1938.3334,7,0.38487908,,truck
2440.4062,1165.617,2683.4626,1365.6099,5,0.3585929,,bus
1302.8907,1466.2727,1530.8943,1656.4984,2,0.7489409,,car
2220.2017,1225.5963,2348.6067,1352.3386,2,0.66793203,,car
2450.133,1172.2413,2679.1387,1365.4187,7,0.61628467,,truck
1136.928,1775.6537,1587.5154,2160.0,2,0.54880464,,car
2431.2202,1629.4728,2752.0496,1918.5685,2,0.50529134,,car
542.95905,1129.0869,731.69244,1277.6265,5,0.45514193,,bus
1856.777,1172.2266,1915.3026,1217.2324,2,0.4411214,,car
2439.2454,1165.8153,2680.5444,1364.5873,5,0.38611066,,bus
1513.437,1051.9175,1649.3518,1151.2548,5,0.35877216,,bus
1251.6727,1086.5273,1408.3052,1213.908,5,0.29779896,,bus
1271.1086,1480.6301,1515.8317,1687.5411,2,0.745982,,car
2218.4597,1225.8589,2345.033,1352.48,2,0.68922436,,car
1086.0879,1837.5829,1552.8312,2160.0,2,0.63925767,,car
2443.6538,1170.7072,2677.1426,1363.8318,7,0.53727376,,truck
2428.055,1612.3813,2731.9397,1896.7888,2,0.48550618,,car
541.5506,1129.1686,730.20874,1283.8282,5,0.46399787,,bus
1852.5121,1173.7106,1913.5869,1220.5576,2,0.35466245,,car
1513.9543,1051.9735,1650.357,1151.6539,5,0.33247113,,bus
1939.32,1162.1632,2012.4977,1215.6661,2,0.3230453,,car
2433.972,1167.2074,2673.6218,1363.4901,5,0.31453618,,bus
